config,threads_or_ranks,median_s,min_s,max_s,stdev_s,comm_fraction,max_abs_diff,tol_failures
serial,1,1.313722,1.308974,1.319832,0.004579,,0.000e+00,0
openmp_t1_static,1,1.275400,1.246722,1.286007,0.017610,,0.000e+00,0
openmp_t1_dynamic,1,1.248795,1.247228,1.261361,0.005927,,0.000e+00,0
openmp_t2_static,2,0.636239,0.632199,0.643724,0.004532,,0.000e+00,0
openmp_t2_dynamic,2,0.629616,0.628041,0.632183,0.001599,,0.000e+00,0
openmp_t4_static,4,0.322764,0.319957,0.324813,0.001817,,0.000e+00,0
openmp_t4_dynamic,4,0.320063,0.317867,0.322296,0.001886,,0.000e+00,0
openmp_t8_static,8,0.171135,0.167833,0.172194,0.001646,,0.000e+00,0
openmp_t8_dynamic,8,0.164033,0.163133,0.164768,0.000643,,0.000e+00,0
openmp_t16_static,16,0.089426,0.088950,0.089988,0.000436,,0.000e+00,0
openmp_t16_dynamic,16,0.085936,0.085077,0.086387,0.000587,,0.000e+00,0
cuda_1gpu,1,1.119399,0.994297,1.272256,0.110177,,0.000e+00,0
nccl_sync_g1,1,0.004680,0.004639,0.004703,0.000024,0.0023504273504273503,0.000e+00,0
nccl_sync_g2,2,0.058760,0.044876,0.408248,0.159551,0.9379680054458815,0.000e+00,0
nccl_async_g1,1,0.004775,0.004751,0.004804,0.000019,0.0,0.000e+00,0
nccl_async_g2,2,0.052155,0.043945,0.058319,0.005523,0.0,0.000e+00,0
