config,threads_or_ranks,median_s,min_s,max_s,stdev_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,1.311959,1.306447,1.330268,0.009760,,,,,0.000e+00,0,
openmp_t1_static,1,1.251151,1.249381,1.253382,0.001533,,,,,0.000e+00,0,
openmp_t1_dynamic,1,1.250988,1.240888,1.252163,0.005896,,,,,0.000e+00,0,
openmp_t2_static,2,0.627146,0.626502,0.632271,0.002784,,,,,0.000e+00,0,
openmp_t2_dynamic,2,0.628621,0.625748,0.630410,0.001798,,,,,0.000e+00,0,
openmp_t4_static,4,0.321763,0.321129,0.323702,0.001155,,,,,0.000e+00,0,
openmp_t4_dynamic,4,0.317483,0.314777,0.317750,0.001421,,,,,0.000e+00,0,
openmp_t8_static,8,0.167060,0.166333,0.170163,0.001828,,,,,0.000e+00,0,
openmp_t8_dynamic,8,0.163916,0.162249,0.165297,0.001210,,,,,0.000e+00,0,
openmp_t16_static,16,0.091066,0.090446,0.092333,0.000739,,,,,0.000e+00,0,
openmp_t16_dynamic,16,0.085823,0.085388,0.086291,0.000381,,,,,0.000e+00,0,
cuda_1gpu,1,0.005002,0.004985,0.005104,0.000048,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,0.005003,0.004992,0.005035,0.000016,f64,56249136,0.000004,0.0007995202878273036,0.000e+00,0,
nccl_sync_g2_f64,2,0.004396,0.004374,0.004430,0.000026,f64,56249136,0.000471,0.10714285714285715,0.000e+00,0,
nccl_async_g1_f64,1,0.005124,0.005103,0.005164,0.000024,f64,56249136,,,0.000e+00,0,
nccl_async_g2_f64,2,0.004804,0.004684,0.005459,0.000366,f64,56249136,,,0.000e+00,0,
nccl_sync_g1_i32,1,0.005008,0.005001,0.005024,0.000011,i32,28124568,0.000004,0.0007987220447284346,0.000e+00,0,
nccl_sync_g2_i32,2,0.004254,0.004232,0.004263,0.000012,i32,28124568,0.000318,0.07475317348377997,0.000e+00,0,
nccl_async_g1_i32,1,0.005089,0.005072,0.005148,0.000030,i32,28124568,,,0.000e+00,0,
nccl_async_g2_i32,2,0.005283,0.004580,0.005310,0.000314,i32,28124568,,,0.000e+00,0,
nccl_sync_g1_packed,1,0.005033,0.005021,0.005045,0.000010,packed,18749712,0.000004,0.000794754619511226,0.000e+00,0,
nccl_sync_g2_packed,2,0.004205,0.004181,0.004242,0.000023,packed,18749712,0.000246,0.05850178359096315,0.000e+00,0,
nccl_async_g1_packed,1,0.005132,0.005105,0.005152,0.000020,packed,18749712,,,0.000e+00,0,
nccl_async_g2_packed,2,0.005188,0.004407,0.005289,0.000364,packed,18749712,,,0.000e+00,0,
