config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,4,0.004362,0.004257,0.004428,0.000071,0.000133,0.004281,0.004414,,,,,0.000e+00,0,
openmp_t1_static,1,4,0.004591,0.004496,0.004607,0.000051,0.000084,0.004519,0.004603,,,,,0.000e+00,0,
openmp_t1_dynamic,1,4,0.004611,0.004605,0.004614,0.000004,0.000007,0.004606,0.004613,,,,,0.000e+00,0,
openmp_t2_static,2,4,0.002472,0.002437,0.002513,0.000032,0.000061,0.002444,0.002505,,,,,0.000e+00,0,
openmp_t2_dynamic,2,4,0.003942,0.003883,0.003981,0.000050,0.000091,0.003889,0.003980,,,,,0.000e+00,0,
openmp_t4_static,4,4,0.001444,0.001415,0.001466,0.000021,0.000039,0.001422,0.001461,,,,,0.000e+00,0,
openmp_t4_dynamic,4,4,0.003994,0.003935,0.004070,0.000060,0.000115,0.003943,0.004058,,,,,0.000e+00,0,
openmp_t8_static,8,4,0.001148,0.001118,0.001203,0.000036,0.000068,0.001123,0.001191,,,,,0.000e+00,0,
openmp_t8_dynamic,8,4,0.003956,0.003897,0.004143,0.000111,0.000204,0.003902,0.004106,,,,,0.000e+00,0,
openmp_t16_static,16,4,0.001123,0.001094,0.001184,0.000038,0.000069,0.001101,0.001169,,,,,0.000e+00,0,
openmp_t16_dynamic,16,4,0.004060,0.004034,0.004114,0.000034,0.000062,0.004040,0.004101,,,,,0.000e+00,0,
mpi_r1,1,4,0.004209,0.004202,0.004232,0.000013,0.000023,0.004203,0.004227,,58704,,,0.000e+00,0,
mpi_r2,2,4,0.004946,0.004719,0.005171,0.000207,0.000397,0.004747,0.005144,,58704,0.002694,0.54015,0.000e+00,0,
