screen,arm,median_ms,iqr_pct,stats_ms,allreduce_ms,finalize_ms,plan_ms,lane_slots,lane_util,critical_slots,vs_g32_source_pct,source_file
cuda1/item_full,legacy,4.723,0.25,4.664,,0.058,,,,,-3.43,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:32:source,4.8905,0.4,4.829,,0.06,50.276,126062688,0.85581,,0.0,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:32:bylen,4.8515,0.56,4.768,,0.078,103.288,126062688,0.85581,,-0.8,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:16:source,4.1385,0.42,4.093,,0.06,50.024,142863296,0.75517,,-15.38,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:16:bylen,3.681,1.03,3.586,,0.076,102.028,116615488,0.92514,,-24.73,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:8:source,3.964,0.79,3.904,,0.06,50.414,161099296,0.66969,,-18.94,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:8:bylen,3.1895,0.98,3.138,,0.076,103.281,111992896,0.96333,,-34.78,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:4:source,4.1025,0.88,4.087,,0.061,50.497,177782848,0.60684,,-16.11,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:4:bylen,3.099,1.45,3.056,,0.077,102.893,109645120,0.98396,,-36.63,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:2:source,4.418,0.81,4.343,,0.062,50.917,192213824,0.56128,,-9.66,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:2:bylen,3.4555,1.29,3.366,,0.078,104.672,108504512,0.9943,,-29.34,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:1:source,5.152,1.28,5.132,,0.062,50.882,205273504,0.52557,,5.35,warp_packing_cuda_item_full_20260905_211432.json
cuda1/item_full,cuda:1:bylen,6.8765,1.68,6.664,,0.077,102.37,107924544,0.99964,,40.61,warp_packing_cuda_item_full_20260905_211432.json
cuda1/user_full,legacy,3.5565,0.57,3.491,,0.065,,,,,-5.16,warp_packing_cuda_user_full_20260905_212526.json
cuda1/user_full,cuda:32:source,3.75,0.53,3.684,,0.068,59.733,68527648,0.67539,,0.0,warp_packing_cuda_user_full_20260905_212526.json
cuda1/user_full,cuda:32:bylen,3.751,0.95,3.68,,0.088,119.354,68527648,0.67539,,0.03,warp_packing_cuda_user_full_20260905_212526.json
cuda1/user_full,cuda:16:bylen,2.544,0.73,2.441,,0.09,119.878,56183936,0.82377,,-32.16,warp_packing_cuda_user_full_20260905_212526.json
cuda1/user_full,cuda:8:bylen,2.0155,0.55,1.92,,0.089,120.745,51284896,0.90246,,-46.25,warp_packing_cuda_user_full_20260905_212526.json
cuda1/user_full,cuda:4:bylen,1.8465,1.53,1.724,,0.089,121.005,48395104,0.95635,,-50.76,warp_packing_cuda_user_full_20260905_212526.json
cuda1/user_full,cuda:2:bylen,1.986,0.62,1.9,,0.089,120.71,46998464,0.98477,,-47.04,warp_packing_cuda_user_full_20260905_212526.json
cuda1/user_full,cuda:1:bylen,2.8995,1.02,2.83,,0.091,121.304,46306624,0.99949,,-22.68,warp_packing_cuda_user_full_20260905_212526.json
cuda1/user_full,cuda:4:source,2.143,0.8,2.063,,0.069,58.54,79513152,0.58208,,-42.85,warp_packing_cuda_user_full_20260905_212526.json
cuda1/lane_full,legacy,0.4015,1.49,0.382,,0.016,,,,,-9.88,warp_packing_cuda_item_full_lane_full_20260905_212824.json
cuda1/lane_full,cuda:32:source,0.4455,3.09,0.423,,0.016,2.351,4987168,0.99055,,0.0,warp_packing_cuda_item_full_lane_full_20260905_212824.json
cuda1/lane_full,cuda:32:bylen,0.4445,0.39,0.427,,0.017,3.66,4987168,0.99055,,-0.22,warp_packing_cuda_item_full_lane_full_20260905_212824.json
cuda1/lane_full,cuda:16:bylen,0.398,1.88,0.372,,0.017,3.693,4987200,0.99054,,-10.66,warp_packing_cuda_item_full_lane_full_20260905_212824.json
cuda1/lane_full,cuda:8:bylen,0.3865,2.52,0.366,,0.017,3.655,4987520,0.99048,,-13.24,warp_packing_cuda_item_full_lane_full_20260905_212824.json
cuda1/lane_full,cuda:4:bylen,0.398,2.07,0.378,,0.017,3.685,4988160,0.99035,,-10.66,warp_packing_cuda_item_full_lane_full_20260905_212824.json
cuda1/lane_full,cuda:2:bylen,0.43,1.22,0.414,,0.017,3.724,4959968,0.99598,,-3.48,warp_packing_cuda_item_full_lane_full_20260905_212824.json
cuda1/lane_full,cuda:1:bylen,0.5735,1.18,0.552,,0.017,3.69,4941792,0.99965,,28.73,warp_packing_cuda_item_full_lane_full_20260905_212824.json
cuda1/lane_full,cuda:4:source,0.408,3.13,0.397,,0.017,2.355,5795328,0.85242,,-8.42,warp_packing_cuda_item_full_lane_full_20260905_212824.json
cuda1/lane_tail,legacy,0.39,1.54,0.373,,0.016,,,,,-11.16,warp_packing_cuda_item_full_lane_tail_20260905_213121.json
cuda1/lane_tail,cuda:32:source,0.439,1.2,0.435,,0.017,2.318,4987168,0.6686,,0.0,warp_packing_cuda_item_full_lane_tail_20260905_213121.json
cuda1/lane_tail,cuda:32:bylen,0.4355,1.78,0.444,,0.017,3.598,4987168,0.6686,,-0.8,warp_packing_cuda_item_full_lane_tail_20260905_213121.json
cuda1/lane_tail,cuda:16:bylen,0.384,1.69,0.369,,0.017,3.557,4107168,0.81185,,-12.53,warp_packing_cuda_item_full_lane_tail_20260905_213121.json
cuda1/lane_tail,cuda:8:bylen,0.3565,2.95,0.353,,0.017,3.564,3667424,0.90919,,-18.79,warp_packing_cuda_item_full_lane_tail_20260905_213121.json
cuda1/lane_tail,cuda:4:bylen,0.3625,2.97,0.334,,0.016,3.615,3447936,0.96707,,-17.43,warp_packing_cuda_item_full_lane_tail_20260905_213121.json
cuda1/lane_tail,cuda:2:bylen,0.388,1.1,0.369,,0.017,3.629,3370112,0.9894,,-11.62,warp_packing_cuda_item_full_lane_tail_20260905_213121.json
cuda1/lane_tail,cuda:1:bylen,0.495,2.78,0.473,,0.017,3.674,3336032,0.99951,,12.76,warp_packing_cuda_item_full_lane_tail_20260905_213121.json
cuda1/lane_tail,cuda:4:source,0.3615,1.94,0.34,,0.017,2.326,4143488,0.80473,,-17.65,warp_packing_cuda_item_full_lane_tail_20260905_213121.json
nccl1/item_full/packed,nccl1:32:source:packed,4.9795,0.27,4.922,0.004,0.052,50.37,126062688,0.85581,126062688,0.0,warp_packing_nccl1_packed_20260905_213438.json
